year,occupation,major_category,minor_category,total_workers,workers_male,workers_female,percent_female,total_earnings,total_earnings_male,total_earnings_female,wage_percent_of_male
2015,First-line supervisors of office and administrative support workers,Sales and Office,Office and Administrative Support,1172641,469845,702796,59.9,47727,54330.0,43758.0,80.5
2015,Bill and account collectors,Sales and Office,Office and Administrative Support,132795,37946,94849,71.4,35374,38114.0,33961.0,89.1
2015,Billing and posting clerks,Sales and Office,Office and Administrative Support,387079,46422,340657,88.0,34158,37241.0,33514.0,90.0
2015,"Bookkeeping, accounting, and auditing clerks",Sales and Office,Office and Administrative Support,824256,106296,717960,87.1,37498,41560.0,37181.0,89.5
2015,Payroll and timekeeping clerks,Sales and Office,Office and Administrative Support,128515,15431,113084,88.0,41274,46039.0,41018.0,89.1
2015,Procurement clerks,Sales and Office,Office and Administrative Support,27334,12321,15013,54.9,51576,57057.0,49581.0,86.9
2015,Tellers,Sales and Office,Office and Administrative Support,222682,29290,193392,86.8,26514,27256.0,26428.0,97.0
2015,"Financial clerks, all other",Sales and Office,Office and Administrative Support,105595,43054,62541,59.2,50192,66747.0,42454.0,63.6
2015,"Court, municipal, and license clerks",Sales and Office,Office and Administrative Support,66156,13832,52324,79.1,37256,41402.0,36849.0,89.0
2015,"Credit authorizers, checkers, and clerks",Sales and Office,Office and Administrative Support,44112,12277,31835,72.2,37200,47358.0,33911.0,71.6
2015,Customer service representatives,Sales and Office,Office and Administrative Support,1718122,603453,1114669,64.9,32317,36064.0,31577.0,87.6
2015,"Eligibility interviewers, government programs",Sales and Office,Office and Administrative Support,63758,12551,51207,80.3,40640,50885.0,39798.0,78.2
2015,File clerks,Sales and Office,Office and Administrative Support,148742,34688,114054,76.7,32320,36548.0,31871.0,87.2
2015,"Hotel, motel, and resort desk clerks",Sales and Office,Office and Administrative Support,76390,26226,50164,65.7,22015,22424.0,21849.0,97.4
2015,"Interviewers, except eligibility and loan",Sales and Office,Office and Administrative Support,83520,11504,72016,86.2,31550,37615.0,31059.0,82.6
2015,Loan interviewers and clerks,Sales and Office,Office and Administrative Support,101161,19877,81284,80.4,41230,45544.0,40723.0,89.4
2015,Order clerks,Sales and Office,Office and Administrative Support,92853,38417,54436,58.6,31859,33907.0,30940.0,91.2
2015,"Human resources assistants, except payroll and timekeeping",Sales and Office,Office and Administrative Support,35349,6847,28502,80.6,39349,41347.0,37429.0,90.5
2015,Receptionists and information clerks,Sales and Office,Office and Administrative Support,673178,67446,605732,90.0,27482,31364.0,27260.0,86.9
2015,Reservation and transportation ticket agents and travel clerks,Sales and Office,Office and Administrative Support,89592,40313,49279,55.0,38389,41690.0,36558.0,87.7
2015,"Information and record clerks, all other",Sales and Office,Office and Administrative Support,63591,15875,47716,75.0,38533,44875.0,35837.0,79.9
2015,Couriers and messengers,Sales and Office,Office and Administrative Support,140185,122486,17699,12.6,36487,36854.0,31658.0,85.9
2015,Dispatchers,Sales and Office,Office and Administrative Support,238287,110071,128216,53.8,39323,41983.0,36386.0,86.7
2015,Postal service clerks,Sales and Office,Office and Administrative Support,95566,44466,51100,53.5,55021,56034.0,51583.0,92.1
2015,Postal service mail carriers,Sales and Office,Office and Administrative Support,267230,168843,98387,36.8,56356,57818.0,52221.0,90.3
2015,"Postal service mail sorters, processors, and processing machine operators",Sales and Office,Office and Administrative Support,53474,25986,27488,51.4,53083,55037.0,51071.0,92.8
2015,"Production, planning, and expediting clerks",Sales and Office,Office and Administrative Support,270331,114456,155875,57.7,46053,56455.0,39133.0,69.3
2015,"Shipping, receiving, and traffic clerks",Sales and Office,Office and Administrative Support,479565,334423,145142,30.3,30934,31719.0,28917.0,91.2
2015,Stock clerks and order fillers,Sales and Office,Office and Administrative Support,881379,582881,298498,33.9,27118,27792.0,26113.0,94.0
2015,"Weighers, measurers, checkers, and samplers, recordkeeping",Sales and Office,Office and Administrative Support,60025,35611,24414,40.7,36196,41345.0,30528.0,73.8
2015,Secretaries and administrative assistants,Sales and Office,Office and Administrative Support,2292625,120737,2171888,94.7,36663,41054.0,36513.0,88.9
2015,Computer operators,Sales and Office,Office and Administrative Support,69473,38242,31231,45.0,43932,50154.0,37483.0,74.7
2015,Data entry keyers,Sales and Office,Office and Administrative Support,229754,53801,175953,76.6,32124,34723.0,31807.0,91.6
2015,Word processors and typists,Sales and Office,Office and Administrative Support,197811,29650,168161,85.0,35048,36611.0,34604.0,94.5
2015,Insurance claims and policy processing clerks,Sales and Office,Office and Administrative Support,317490,62343,255147,80.4,36838,40237.0,36406.0,90.5
2015,"Mail clerks and mail machine operators, except postal service",Sales and Office,Office and Administrative Support,52602,25830,26772,50.9,30578,31379.0,28966.0,92.3
2015,"Office clerks, general",Sales and Office,Office and Administrative Support,838480,150980,687500,82.0,33678,36442.0,32850.0,90.1
2015,"Office machine operators, except computer",Sales and Office,Office and Administrative Support,23701,10885,12816,54.1,29338,31933.0,26829.0,84.0
2015,"Office and administrative support workers, all other",Sales and Office,Office and Administrative Support,487520,118499,369021,75.7,39843,44329.0,37840.0,85.4
2015,"First-line supervisors of farming, fishing, and forestry workers","Natural Resources, Construction, and Maintenance","Farming, Fishing, and Forestry",50333,43275,7058,14.0,40351,40904.0,36592.0,89.5
2015,"Graders and sorters, agricultural products","Natural Resources, Construction, and Maintenance","Farming, Fishing, and Forestry",33127,11776,21351,64.5,21434,26573.0,20373.0,76.7
2015,Miscellaneous agricultural workers,"Natural Resources, Construction, and Maintenance","Farming, Fishing, and Forestry",498973,415865,83108,16.7,24083,25272.0,19587.0,77.5
2015,First-line supervisors of construction trades and extraction workers,"Natural Resources, Construction, and Maintenance",Construction and Extraction,648913,628502,20411,3.1,57174,57434.0,50654.0,88.2
2015,Carpenters,"Natural Resources, Construction, and Maintenance",Construction and Extraction,815108,802196,12912,1.6,35859,35923.0,31376.0,87.3
